Booking Date,Check-in,Check-out,Temperature,Weather,URL
2022-11-09,2022-11-22,2022-11-27,11.63,Sunny,https://www.airbnb.com/hosting/reservations/details/HM3STKSJMC
2022-11-10,2022-12-16,2022-12-19,18.33,Sunny,https://www.airbnb.com/hosting/reservations/details/HMZJ3H489R
2022-12-01,2022-12-23,2022-12-26,6.11,Sunny,https://www.airbnb.com/hosting/reservations/details/HMDN5BPCNE
2023-01-02,2023-01-20,2023-01-23,9.35,Clouds,https://www.airbnb.com/hosting/reservations/details/HMNJWW2KM8
2023-01-06,2023-01-05,2023-01-08,4.68,Clouds,https://www.airbnb.com/hosting/reservations/details/HM5Y232XYR
2023-02-08,2023-02-23,2023-02-26,4.69,Clear,https://www.airbnb.com/hosting/reservations/details/HMQD84QM5N
2023-02-08,2023-02-17,2023-02-20,4.69,Clear,https://www.airbnb.com/hosting/reservations/details/HM2KC5KFHZ
2023-02-08,2023-02-10,2023-02-13,4.69,Clear,https://www.airbnb.com/hosting/reservations/details/HMDJW8JDWC
2023-02-08,2023-02-13,2023-02-16,4.69,Clear,https://www.airbnb.com/hosting/reservations/details/HMQ4DB9XXC
2023-03-08,2023-03-24,2023-03-27,-1.11,Clouds,https://www.airbnb.com/hosting/reservations/details/HM3W5NM2PX
2023-03-08,2023-04-19,2023-04-23,-1.11,Clouds,https://www.airbnb.com/hosting/reservations/details/HMJDCACAFZ
2023-03-08,2023-05-26,2023-05-29,-1.11,Clouds,https://www.airbnb.com/hosting/reservations/details/HMC2H8F4HC
2023-03-08,2023-08-18,2023-08-21,-1.11,Clouds,https://www.airbnb.com/hosting/reservations/details/HMY33DHKSS
2023-03-08,2023-03-09,2023-03-12,-1.11,Clouds,https://www.airbnb.com/hosting/reservations/details/HMNQXH482S
2023-03-13,2023-04-08,2023-04-12,1.85,Rain,https://www.airbnb.com/hosting/reservations/details/HMFW9HZM84
2023-03-13,2023-03-16,2023-03-19,1.85,Rain,https://www.airbnb.com/hosting/reservations/details/HMZ3P8K4KW
2023-03-13,2023-07-27,2023-07-30,1.85,Rain,https://www.airbnb.com/hosting/reservations/details/HMDFXTH9A9
2023-03-14,2023-04-14,2023-04-17,-1.89,Snow,https://www.airbnb.com/hosting/reservations/details/HMYAW9ENSD
